CELTIC,SCOTLN,WALES,UNEMPL,MINMAN,MANUAL,NONMAN,ROOMPC,CARSPC,UNSKLL,PROFSS,EMPMAN,PERSWK,OWNHOM,WCLLAB,MCLCON,LABR66,LABR70,CONS66,CONS70
0,0,0,.005,.577,.623,.367,1.650,.195,.073,.050,.112,.154,.554,.509,.577,.500,.450,.380,.460
0,0,0,.006,.432,.573,.325,1.659,.236,.059,.050,.117,.202,.503,.462,.720,.450,.310,.550,.530
0,0,0,.011,.363,.573,.372,1.907,.225,.061,.049,.154,.171,.567,.345,.810,.250,.210,.570,.630
0,0,0,.010,.355,.605,.189,1.502,.110,.139,.013,.051,.129,.391,.434,.676,.500,.480,.500,.520
0,0,0,.012,.337,.594,.331,2.047,.233,.064,.047,.157,.167,.596,.292,.770,.270,.200,.540,.600
0,0,0,.005,.415,.615,.329,1.799,.244,.059,.057,.130,.210,.467,.370,.749,.420,.300,.580,.560
1,0,1,.020,.810,.827,.160,1.719,.116,.120,.014,.044,.270,.550,.709,.349,.850,.720,.150,.070
1,0,1,.015,.301,.656,.251,1.805,.201,.102,.024,.114,.182,.493,.486,.597,.480,.540,.360,.350
1,0,1,.008,.693,.776,.205,1.725,.181,.137,.029,.070,.213,.505,.485,.691,.510,.460,.330,.380
0,0,0,.006,.726,.728,.266,1.689,.177,.091,.040,.096,.148,.418,.465,.780,.590,.500,.410,.500
0,0,0,.003,.698,.659,.336,1.709,.201,.062,.052,.121,.155,.586,.335,.769,.470,.410,.530,.590
0,0,0,.008,.796,.746,.249,1.713,.177,.077,.044,.060,.210,.642,.503,.623,.590,.570,.410,.430
0,0,0,.007,.554,.662,.330,1.757,.196,.074,.040,.111,.163,.510,.459,.765,.470,.420,.530,.580
0,0,0,.065,.465,.822,.164,1.280,.035,.267,.015,.036,.233,.133,.634,.577,.740,.710,.260,.250
0,0,0,.011,.592,.566,.424,1.873,.217,.063,.077,.153,.162,.587,.524,.799,.330,.320,.480,.550
0,0,0,.006,.687,.778,.214,1.651,.114,.130,.022,.079,.174,.487,.415,.673,.500,.510,.350,.490
0,0,0,.013,.504,.603,.386,1.827,.139,.057,.052,.097,.144,.402,.369,.675,.410,.400,.430,.480
0,0,0,.007,.703,.737,.256,1.839,.130,.093,.033,.084,.173,.691,.418,.629,.530,.510,.360,.490
0,0,0,.010,.561,.731,.259,1.835,.156,.089,.031,.069,.161,.559,.542,.721,.610,.540,.390,.460
0,0,0,.007,.634,.608,.385,1.876,.217,.065,.084,.134,.182,.632,.365,.683,.370,.350,.480,.530
1,1,0,.022,.686,.757,.239,1.187,.085,.159,.027,.060,.155,.133,.474,.500,.640,.590,.360,.350
1,1,0,.034,.663,.755,.221,1.161,.076,.137,.026,.062,.170,.185,.543,.421,.570,.540,.170,.450
1,1,0,.017,.662,.745,.241,1.368,.131,.089,.030,.084,.208,.226,.517,.450,.690,.590,.310,.280
1,1,0,.019,.617,.796,.195,1.415,.128,.071,.024,.091,.363,.186,.613,.679,.670,.620,.330,.300
0,0,0,.017,.580,.674,.317,1.567,.128,.095,.045,.083,.166,.339,.543,.653,.630,.590,.370,.410
0,0,0,.029,.679,.742,.250,1.464,.099,.122,.027,.081,.155,.342,.587,.764,.580,.560,.420,.440
0,0,0,.011,.693,.706,.283,1.588,.150,.072,.038,.078,.236,.316,.590,.627,.650,.610,.350,.390
0,0,0,.008,.665,.745,.244,1.559,.129,.080,.027,.086,.196,.417,.502,.690,.560,.500,.290,.340
0,0,0,.004,.617,.606,.391,1.833,.182,.068,.050,.154,.171,.644,.352,.754,.430,.390,.460,.500
0,0,0,.008,.698,.764,.232,1.788,.129,.105,.021,.078,.173,.336,.598,.611,.680,.620,.320,.380
0,0,0,.004,.444,.500,.478,1.825,.221,.058,.087,.188,.137,.599,.381,.726,.280,.280,.540,.540
0,0,0,.007,.318,.686,.294,1.804,.196,.076,.026,.151,.273,.452,.290,.803,.270,.250,.510,.570
0,0,0,.007,.756,.809,.185,1.773,.138,.088,.019,.059,.224,.522,.571,.536,.700,.600,.300,.290
0,0,0,.007,.511,.689,.303,1.801,.210,.069,.041,.148,.198,.495,.453,.805,.370,.380,.500,.620
0,0,0,.004,.597,.657,.324,1.778,.209,.061,.051,.126,.183,.561,.351,.814,.360,.300,.480,.560
0,0,0,.008,.295,.697,.193,1.827,.232,.071,.020,.092,.296,.421,.440,.836,.490,.430,.510,.570
0,0,0,.010,.446,.766,.227,1.342,.091,.170,.014,.044,.195,.019,.541,.423,.740,.670,.220,.280
0,0,0,.013,.480,.709,.278,1.387,.094,.119,.021,.054,.187,.205,.553,.541,.690,.630,.310,.370
0,0,0,.009,.499,.659,.324,1.734,.138,.082,.031,.082,.159,.389,.505,.558,.610,.570,.390,.430
0,0,0,.011,.319,.386,.600,1.580,.164,.059,.125,.170,.103,.254,.605,.458,.470,.460,.420,.470
0,0,0,.005,.472,.554,.433,1.857,.201,.063,.061,.132,.122,.676,.518,.671,.420,.440,.440,.560
0,0,0,.004,.470,.471,.513,1.846,.241,.043,.073,.168,.092,.659,.344,.636,.420,.310,.580,.520
0,0,0,.003,.356,.390,.598,1.940,.237,.045,.118,.211,.092,.642,.378,.779,.270,.250,.520,.590
0,0,0,.009,.462,.649,.341,1.723,.167,.092,.048,.108,.184,.439,.556,.768,.480,.440,.440,.470
0,0,0,.007,.455,.577,.343,1.666,.187,.061,.049,.109,.134,.535,.391,.676,.370,.330,.480,.540
0,0,0,.015,.349,.518,.473,2.072,.191,.058,.055,.172,.106,.714,.255,.769,.200,.180,.600,.660
0,0,0,.004,.550,.610,.353,1.769,.191,.096,.065,.099,.131,.582,.465,.743,.450,.400,.450,.500
0,0,0,.007,.460,.597,.381,1.761,.210,.073,.053,.132,.157,.519,.333,.662,.450,.300,.550,.510
0,0,0,.004,.338,.486,.358,1.657,.225,.051,.066,.098,.114,.537,.402,.760,.320,.310,.490,.560
0,0,0,.009,.554,.628,.352,1.695,.213,.064,.052,.115,.152,.613,.514,.621,.450,.380,.450,.510
0,0,0,.004,.465,.552,.437,1.818,.236,.067,.094,.171,.153,.533,.417,.748,.320,.260,.510,.540
0,0,0,.018,.312,.593,.392,2.120,.226,.070,.046,.195,.199,.599,.446,.870,.200,.180,.580,.640
0,0,0,.017,.390,.586,.399,1.879,.179,.063,.048,.167,.154,.680,.397,.756,.290,.260,.490,.540
0,0,0,.004,.608,.613,.379,1.676,.235,.059,.073,.106,.151,.624,.380,.791,.430,.380,.450,.510
0,0,0,.011,.437,.604,.265,1.717,.222,.064,.030,.102,.193,.464,.321,.667,.220,.220,.400,.500
1,0,1,.014,.775,.800,.189,1.719,.153,.110,.023,.046,.260,.377,.741,.537,.770,.710,.200,.230
1,0,1,.020,.340,.665,.322,1.976,.213,.071,.036,.152,.190,.547,.411,.556,.260,.260,.390,.450
1,0,1,.012,.265,.720,.270,1.883,.241,.078,.034,.133,.196,.465,.356,.431,.240,.200,.270,.300
0,0,0,.005,.782,.792,.196,1.561,.137,.095,.020,.068,.194,.352,.436,.703,.580,.550,.420,.450
0,0,0,.006,.566,.591,.395,1.683,.179,.087,.072,.118,.160,.429,.352,.667,.320,.350,.540,.630
0,0,0,.006,.737,.754,.239,1.608,.180,.069,.036,.086,.211,.413,.414,.673,.600,.490,.400,.510
