statefips,countyfips,county,state,tporgs,tprallies,totalpop,lnpop,pctevang,pctcath,gini,racialsegregationindex,whitepop,pctwhite,blackpop,pctblack,latinopop,pctlatino,popover25,atleastBA25,pctBA25,pctemp,unemployedcivilian,pctunemp,medianfamincome,tot100kover,pct100kover,totalvote2008,repvote2008,demvote2008,othervote2008,reppct2008,dempct2008,otherpct2008,polheterogeneity2008
12,97,Osceola County,Florida,2,0,254739,12.448,41.198,37.959,0.404,0.302,190262,74.688995,26080,10.23793,103311,40.555628,161443,29872,18.503125,91.649754,10656,8.350246,50265,11289,12.581778,100670,40086,59962,622,39.819211,59.562928,0.61786,0.4866306
12,99,Palm Beach County,Florida,5,3,1268601,14.05342,16.361,47.5,0.505,0.481,951914,75.036517,200523,15.806625,218773,17.245217,901693,282352,31.31354,92.312368,47176,7.687632,64763,116958,22.999685,590500,226037,361271,3192,38.278916,61.180525,0.540559,0.4791376
12,115,Sarasota County,Florida,1,1,367446,12.81433,24.273,42.571,0.481,0.364,334983,91.165232,16642,4.529101,25123,6.837195,284613,82295,28.914702,92.463565,12452,7.536435,61943,30833,18.606939,207353,102897,102686,1770,49.624071,49.522312,0.853617,0.5084264
12,121,Suwannee County,Florida,0,0,39256,10.57786,82.169,6.124,0.433,0.519,32921,83.86234,4133,10.528327,3234,8.238231,27037,2367,8.75467,91.852849,1331,8.147151,43422,1015,7.501293,17662,12534,4916,212,70.965916,27.833767,1.200317,0.4187679
12,71,Lee County,Florida,2,1,573676,13.25982,31.196,44.704,0.468,0.5,487563,84.989262,42730,7.448455,93069,16.223269,415428,103616,24.941988,92.374212,20635,7.625788,58798,43676,17.900807,269276,147608,119701,1967,54.816619,44.452903,0.730477,0.5018544
12,86,Miami-Dade County,Florida,5,2,2457044,14.71447,17.7,60.809,0.499,0.567,1785122,72.653237,482431,19.63461,1507621,61.359137,1651587,427666,25.894246,92.438625,91485,7.561375,49360,138548,16.734245,863486,360551,499831,3104,41.75528,57.885247,0.359473,0.4905666
12,89,Nassau County,Florida,1,0,67977,11.12692,72.288,10.723,0.416,0.306,60418,88.880062,5482,8.064492,1737,2.555276,47245,9620,20.361943,92.374148,2551,7.625852,66180,5186,19.881158,38304,27403,10618,283,71.540831,27.720343,0.738826,0.4112946
12,15,Charlotte County,Florida,1,0,156043,11.95789,20.725,51.253,0.437,0.425,141323,90.566703,7864,5.039637,7503,4.80829,123895,25716,20.756286,91.082034,5616,8.917966,52397,9236,12.713708,85158,45205,39031,922,53.08368,45.833627,1.082693,0.5080229
12,51,Hendry County,Florida,0,0,39244,10.57755,64.385,15.859,0.42,0.414,26594,67.765773,5400,13.760065,18451,47.016104,23214,1811,7.801327,88.326238,2084,11.673762,40845,872,8.09431,10879,5780,4998,101,53.129883,45.941723,0.928394,0.5065712
12,45,Gulf County,Florida,0,0,15714,9.662308,77.619,4.236,0.428,0.576,11903,75.747741,2964,18.862161,586,3.729159,11661,1559,13.369351,90.796964,582,9.203036,48338,577,11.100423,7205,4980,2149,76,69.118668,29.826509,1.054823,0.4331876
12,105,Polk County,Florida,16,1,566657,13.24751,62.714,18.556,0.431,0.352,441846,77.974154,77068,13.600467,85372,15.065904,380256,68567,18.0318,92.866262,18662,7.133738,51209,26799,11.947891,244833,128878,113865,2090,52.639146,46.507211,0.853643,0.5065471
12,73,Leon County,Florida,3,1,261023,12.47236,55.53,15.205,0.492,0.439,164214,62.911697,81307,31.149362,11746,4.499987,140354,57498,40.966413,92.000247,11671,7.999753,64987,18626,17.152276,148608,55705,91747,1156,37.484523,61.737592,0.777885,0.4782775
